Код подразделения,Название подразделения,Код родителя
АП.2.9.3.4,Управление разработки интернет-магазина,АП.2.9.3
АП.2.9.3.1.1,Группа разработки мобильного курьера,АП.2.9.3.1
АП.2.9.3.1.3,Группа разработки мобильных ассистентов,АП.2.9.3.1
АП.2.9.3.1.4,Группа разработки мобильных касс,АП.2.9.3.1
АП.2.9.3.1.5,Группа разработки приложения отчетности,АП.2.9.3.1
АП.2.9.3.1,Управление разработки мобильных решений,АП.2.9.3
АП.2.9.3.3.5,Группа разработки сервисов логистики,АП.2.9.3.3
АП.2.9.3.2.6,Группа поддержки бизнес-приложений,АП.2.9.3.2
АП.2.9.3.2.1,Группа разработки инструментов контактного центра,АП.2.9.3.2
АП.2.9.3.2.2,Группа разработки маркетинговых инструментов,АП.2.9.3.2
АП.2.9.3.2.3,Группа разработки сервисов интеграции,АП.2.9.3.2
АП.2.9.3.2.5,Группа разработки сервисов логистики,АП.2.9.3.2
АП.2.9.3.2.4,Группа разработки систем управления контентом,АП.2.9.3.2
АП.2.9.12.1.8,(V) Руководитель по открытиям ПВЗ,АП.2.9.12.1
АП.2.9.12.1.1.2,Отделение Алкон,АП.2.9.12.1.1
АП.2.9.12.1.1.3,Отделение Барвиха,АП.2.9.12.1.1
АП.2.9.12.1.1.4,Отделение Кутузовский,АП.2.9.12.1.1
АП.2.9.12.1.1.6,Отделение Москва-Сити,АП.2.9.12.1.1
АП.2.9.12.1.1.1,Отделение ЦУМ,АП.2.9.12.1.1
АП.2.9.12.1.1.5,Отделение Шуваловский,АП.2.9.12.1.1
АП.2.9.12.1.1,ПВЗ Москва,АП.2.9.12.1
АП.2.9.12.1.4.3,Отделение Казань,АП.2.9.12.1.4
АП.2.9.12.1.4.1,Отделение Нижний Новгород,АП.2.9.12.1.4
АП.2.9.12.1.4.2,Отделение Самара,АП.2.9.12.1.4
АП.2.9.12.1.2.1,Отделение ДЛТ,АП.2.9.12.1.2
АП.2.9.12.1.2.2,Отделение Репино,АП.2.9.12.1.2
АП.2.9.12.1.2,ПВЗ Санкт-Петербург,АП.2.9.12.1
АП.2.9.12.1.6.1,Отделение Владивосток,АП.2.9.12.1.6
АП.2.9.12.1.6.2,Отделение Красноярск,АП.2.9.12.1.6
АП.2.9.12.1.6.3,Отделение Новосибирск,АП.2.9.12.1.6
АП.2.9.12.1.5.1,Отделение Екатеринбург,АП.2.9.12.1.5
АП.2.9.12.1.3.1,Отделение Краснодар,АП.2.9.12.1.3
АП.2.9.12.1.3.2,Отделение Ростов-на-Дону,АП.2.9.12.1.3
АП.2.9.12.1.3.3,Отделение Сочи,АП.2.9.12.1.3
АП.2.9.12.1.9,Учебный центр,АП.2.9.12.1
АП.2.9,Дирекция электронной коммерции,АП.2
АП.2.9.8,Отдел клиентского опыта и инноваций,АП.2.9
АП.2.9.4.2,Группа внедрения ИТ-решений для коммерческого планирования и ценообразования,АП.2.9.4
АП.2.9.4.3,Группа по планированию и ценообразованию,АП.2.9.4
АП.2.9.4,Отдел коммерческого планирования и управления продажами,АП.2.9
АП.2.9.2,Отдел продуктового дизайна,АП.2.9
АП.2.9.15,Отдел специальных проектов и развития бренда,АП.2.9
АП.2.9.12.2.7,Отдел финансового планирования и бюджетирования,АП.2.9.12.2
АП.2.9.10.1.4,Группа по работе со стилистами,АП.2.9.10.1
АП.2.9.10.2.1,Отделение Санкт-Петербург,АП.2.9.10.2
АП.2.9.5.4,Группа менеджмента главной страницы и коммуникаций,АП.2.9.5
АП.2.9.5.1,Группа мерчендайзинга,АП.2.9.5
АП.2.9.5.2,Группа художественных описаний,АП.2.9.5
АП.2.9.5.3,Редакция новостей,АП.2.9.5
АП.2.9.5,Управление контента,АП.2.9
АП.2.9.7.1.2,Группа клиентских исследований,АП.2.9.7.1
АП.2.9.7.1.1,Группа мониторинга и контроля качества клиентского сервиса,АП.2.9.7.1
АП.2.9.7.1.3,Группа поддержки клиентов,АП.2.9.7.1
